epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.175,1.5676,4.10172,1.58392,0.00681,0.3451,0.04688,0.03122,1.12951,4.15473,1.17779,0.000215385,0.000215385,0.000215385
2,448.446,1.50977,3.17399,1.49708,0.75626,0.08611,0.18311,0.10689,1.24311,3.7904,1.28924,0.000429052,0.000429052,0.000429052
3,614.447,1.45215,2.54059,1.49593,0.47187,0.16166,0.25387,0.14565,1.40366,3.51816,1.81903,0.000633914,0.000633914,0.000633914
4,748.352,1.42339,2.29308,1.46738,0.41484,0.26117,0.28876,0.14598,1.31242,3.12928,1.7173,0.00062738,0.00062738,0.00062738
5,950.395,1.37848,2.11716,1.44454,0.44112,0.38848,0.35544,0.1834,1.58931,3.34795,1.6079,0.000614174,0.000614174,0.000614174
6,1180.51,1.33939,1.96107,1.40691,0.51268,0.36201,0.40413,0.22027,1.40231,2.61018,1.684,0.000600967,0.000600967,0.000600967
7,1355.54,1.2884,1.83268,1.35607,0.5412,0.41867,0.48416,0.22931,1.36142,2.70679,1.33876,0.00058776,0.00058776,0.00058776
8,1545.91,1.25701,1.67639,1.33986,0.43475,0.53365,0.49042,0.26861,1.28226,2.431,1.28596,0.000574554,0.000574554,0.000574554
9,1755.63,1.23833,1.64407,1.33505,0.45596,0.54559,0.49853,0.25246,1.44358,2.53043,1.73753,0.000561347,0.000561347,0.000561347
10,1890.37,1.23222,1.56506,1.31951,0.75211,0.3978,0.57147,0.31003,1.28477,2.02541,1.33166,0.000548141,0.000548141,0.000548141
11,2071.3,1.19778,1.49909,1.30349,0.67224,0.51894,0.60813,0.31104,1.20479,2.21829,1.28275,0.000534934,0.000534934,0.000534934
12,2293.24,1.16444,1.4755,1.28953,0.70374,0.48686,0.58172,0.31889,1.28785,1.91484,1.32397,0.000521727,0.000521727,0.000521727
13,2442.48,1.15961,1.42661,1.26174,0.6173,0.53738,0.58177,0.31835,1.36324,2.04966,1.4281,0.000508521,0.000508521,0.000508521
14,2605.11,1.11975,1.32481,1.2444,0.54931,0.5726,0.60955,0.34024,1.21078,1.91225,1.41717,0.000495314,0.000495314,0.000495314
15,2762.59,1.10156,1.28086,1.22717,0.68091,0.50581,0.61305,0.34287,1.51029,2.36621,1.64814,0.000482108,0.000482108,0.000482108
16,2924.33,1.06022,1.23747,1.21332,0.65952,0.61349,0.62286,0.34441,1.22563,1.94064,1.28714,0.000468901,0.000468901,0.000468901
17,3070.66,1.09,1.23797,1.19813,0.76085,0.51592,0.61816,0.33467,1.08115,1.86857,1.23806,0.000455694,0.000455694,0.000455694
18,3225.17,1.05892,1.18303,1.18481,0.54698,0.65944,0.61838,0.32488,1.21784,1.80695,1.28257,0.000442488,0.000442488,0.000442488
19,3369.48,1.03277,1.15233,1.18293,0.62562,0.61305,0.62751,0.3428,1.21962,1.77174,1.28718,0.000429281,0.000429281,0.000429281
20,3513.77,0.9892,1.13199,1.17716,0.63391,0.55899,0.62216,0.34172,1.19698,2.07652,1.2433,0.000416075,0.000416075,0.000416075
21,3661.1,0.97169,1.12015,1.16082,0.61525,0.65096,0.64517,0.35365,1.05087,1.56728,1.19501,0.000402868,0.000402868,0.000402868
22,3804.27,1.01384,1.09117,1.1724,0.69806,0.52237,0.61229,0.33618,1.21567,1.70851,1.21994,0.000389661,0.000389661,0.000389661
23,3947.28,0.96908,1.0535,1.15819,0.62544,0.60415,0.61539,0.3438,1.11771,1.92143,1.23173,0.000376455,0.000376455,0.000376455
24,4096.8,0.94197,1.03618,1.13638,0.71155,0.62397,0.63793,0.341,1.15274,1.63021,1.21437,0.000363248,0.000363248,0.000363248
25,4269.24,0.91711,1.01094,1.12374,0.72113,0.63255,0.65284,0.34101,1.09892,2.17635,1.20965,0.000350042,0.000350042,0.000350042
26,4418.23,0.93217,0.97736,1.11707,0.70902,0.59308,0.64648,0.35176,1.13321,1.44975,1.21494,0.000336835,0.000336835,0.000336835
27,4557.65,0.90924,0.95824,1.10321,0.65609,0.59795,0.62601,0.34868,1.09965,1.75335,1.20864,0.000323628,0.000323628,0.000323628
28,4720.14,0.88642,0.92819,1.10795,0.73035,0.60462,0.65027,0.35457,1.05679,1.53523,1.22188,0.000310422,0.000310422,0.000310422
29,4861.07,0.85431,0.90045,1.08344,0.7343,0.54962,0.6504,0.36588,1.21003,1.62098,1.273,0.000297215,0.000297215,0.000297215
30,5013.31,0.87709,0.91938,1.10045,0.76935,0.55694,0.66916,0.37937,1.14251,1.44713,1.20584,0.000284009,0.000284009,0.000284009
31,5151.55,0.85211,0.86654,1.07759,0.74111,0.59411,0.71179,0.3905,1.04527,1.5139,1.19834,0.000270802,0.000270802,0.000270802
32,5283.23,0.85465,0.87944,1.07888,0.74802,0.56125,0.67446,0.37034,1.15748,1.46751,1.24562,0.000257595,0.000257595,0.000257595
33,5418.94,0.86072,0.86857,1.09466,0.75563,0.60648,0.6793,0.38712,1.11198,1.61177,1.2189,0.000244389,0.000244389,0.000244389
34,5567.86,0.83261,0.85201,1.07074,0.74256,0.60235,0.67264,0.37263,1.14159,1.71111,1.24257,0.000231182,0.000231182,0.000231182
35,5717.57,0.79844,0.79689,1.03409,0.74527,0.59013,0.66759,0.38244,1.07878,1.4308,1.17203,0.000217976,0.000217976,0.000217976
36,5857.67,0.81512,0.81593,1.05733,0.75948,0.59493,0.67262,0.38519,1.14054,1.35983,1.22921,0.000204769,0.000204769,0.000204769
37,5996.65,0.79792,0.80009,1.04555,0.71596,0.63791,0.6886,0.39058,1.15852,1.35475,1.21002,0.000191562,0.000191562,0.000191562
38,6143.2,0.77664,0.78485,1.0366,0.80087,0.59899,0.68525,0.38796,1.10554,1.36686,1.1858,0.000178356,0.000178356,0.000178356
39,6284.66,0.7755,0.78186,1.04632,0.73163,0.62563,0.69699,0.39875,1.1366,1.48579,1.23679,0.000165149,0.000165149,0.000165149
40,6422.81,0.76347,0.78546,1.03918,0.78941,0.64284,0.69953,0.39688,1.07416,1.26129,1.16258,0.000151943,0.000151943,0.000151943
41,6563.75,0.74667,0.78903,1.03539,0.72796,0.65962,0.70391,0.40595,1.17532,1.32416,1.23148,0.000138736,0.000138736,0.000138736
42,6710.5,0.72088,0.74432,1.02535,0.74673,0.62228,0.72775,0.39687,1.16606,1.31963,1.22834,0.000125529,0.000125529,0.000125529
43,6839.53,0.68179,0.70285,0.99516,0.70893,0.644,0.69654,0.38338,1.20093,1.35059,1.24758,0.000112323,0.000112323,0.000112323
44,6975.79,0.67288,0.68754,0.98989,0.71075,0.70284,0.71985,0.39939,1.10571,1.25427,1.19322,9.91162e-05,9.91162e-05,9.91162e-05
45,7102.06,0.67461,0.69383,0.99734,0.71405,0.67308,0.69771,0.39753,1.13537,1.24626,1.20991,8.59096e-05,8.59096e-05,8.59096e-05
46,7227.89,0.65127,0.65787,0.97489,0.74729,0.68185,0.71406,0.40077,1.11146,1.24178,1.19134,7.2703e-05,7.2703e-05,7.2703e-05
47,7359.45,0.64846,0.66447,0.9756,0.71284,0.68843,0.71654,0.40413,1.1221,1.27285,1.19351,5.94964e-05,5.94964e-05,5.94964e-05
48,7479.13,0.62859,0.63651,0.94904,0.77304,0.62799,0.71681,0.40753,1.12122,1.26477,1.1943,4.62898e-05,4.62898e-05,4.62898e-05
49,7614.65,0.62314,0.6412,0.96473,0.74503,0.67932,0.72212,0.40426,1.09468,1.27235,1.18462,3.30832e-05,3.30832e-05,3.30832e-05
50,7759.37,0.61574,0.64302,0.95738,0.74758,0.68614,0.72382,0.40762,1.08893,1.26767,1.18313,1.98766e-05,1.98766e-05,1.98766e-05
